CWE,TP,FN,TN,FP,Total,TPR,FPR,Score
94:Code injection,4,2,38,15,59,0.6666666666666666,0.2830188679245283,0.38364779874213834
,"Total TP:
4","Total FN:
2","Total TN:
38","Total FP:
15","Total Test Cases:
59","Average TPR:
0.6666666666666666","Average FPR:
0.2830188679245283","Average Score:
0.38364779874213834"
